1
		Rooms	Brand	Parent Company	Property Name	Market Name	Submarket Name	Hotel Class	Scale	Operation Type	Constr Status	Operational Status	Expansion Rooms	Expansion Status Month	Expansion Status Year	Expansion Status	Property Address	City	State	Zip	Year Built	Year Renovated	Hotel Open Date	Data Participation	Mtg Rooms	Total Mtg Space	Max Contig Mtg Space	Hotel Location Type	Secondary Type	All-Inclusive	All-Suites	Primary Corridors	Number Of Stories	Number Of Parking Spaces	Parking Spaces/Room	FEMA Map Date	FEMA Map Identifier	FIRM ID	FIRM Panel Number	In SFHA	Floodplain Area	Owner Name	Owner Phone	Owner Contact	Owner Address	Owner City State Zip	Property Location	True Owner Address	True Owner City State Zip	True Owner Name	True Owner Contact	True Owner Phone
		1012	JW Marriott	Marriott International	JW Marriott Austin	Austin, TX	Austin CBD	Luxury	Luxury	Franchise	Existing	Open					110 E 2nd St	Austin	TX	78701	2014		02/12/2015	Monthly	59	115,609	30,183	Urban	Hotel	No	No	Interior	33	471	0.465	01/22/2020	48453C0465K	48453C	0465K	No	100-year and 500-year Floodplain	The Finley Company	5124780885		515 Congress Ave Suite # 2210	Austin, TX 78701-3504		515 Congress Ave Suite # 2210	Austin, TX 78701-3504	The Finley Company		5124780885
		296	Hyatt Place	Hyatt Corporation	Hyatt Place Austin Downtown	Austin, TX	Austin CBD	Upscale	Upscale	Franchise	Existing	Open					211 E 3rd St	Austin	TX	78701	2013		03/01/2013	Monthly & Daily	3	2,088	1,805	Urban	Hotel	No	Yes	Interior	16			01/22/2020	48453C0465K	48453C	0465K	No	100-year and 500-year Floodplain	BRE Hotels & Resorts LLC			530 Fifth Ave	New York, NY 10036-5101		530 Fifth Ave	New York, NY 10036-5101	BRE Hotels & Resorts LLC
		136	Hampton by Hilton	Hilton Worldwide	Hampton Inn Austin East Side 5th Street	Austin, TX	Austin CBD	Upper Midscale	Upper Midscale	Franchise	Existing	Open					2033 E 5th St	Austin	TX	78702-4525	2024		08/06/2024	Monthly & Daily	1	420	420	Urban	Hotel	No	No	Interior	5			01/22/2020	48453C0465K	48453C	0465K	No	100-year and 500-year Floodplain	Floridays Development Co	9413629377	Angus Rogers	783 S Orange Ave Suite # 210	Sarasota, FL 34236-4702		783 S Orange Ave Suite # 210	Sarasota, FL 34236-4702	Floridays Development Co	Angus Rogers	9413629377
		140	Home2 Suites by Hilton	Hilton Worldwide	Home2 Suites by Hilton Austin East Side 5th Street	Austin, TX	Austin CBD	Upper Midscale	Upper Midscale	Franchise	Existing	Open					2033 E 5th St	Austin	TX	78702	2024		08/06/2024	Monthly & Daily	1	420	420	Urban	Hotel	No	Yes	Interior	5	39	0.279	01/22/2020	48453C0465K	48453C	0465K	No	100-year and 500-year Floodplain	Floridays Development Co	9413629377	Angus Rogers	783 S Orange Ave Suite # 210	Sarasota, FL 34236-4702		783 S Orange Ave Suite # 210	Sarasota, FL 34236-4702	Floridays Development Co	Angus Rogers	9413629377
		252	AC Hotels by Marriott	Marriott International	AC Hotels by Marriott Fort Worth Downtown	Fort Worth/Arlington, TX	Fort Worth CBD	Upscale	Upscale	Franchise	Existing	Open					101 W 5th St	Fort Worth	TX	76102	2020		09/01/2020	Monthly & Daily	4	4,000	1,800	Urban	Hotel	No	No	Interior	16			03/21/2019	48439C0190L	48439C	0190L	No	100-year and 500-year Floodplain	Jackson-Shaw Company	9726287400		4890 Alpha Rd Suite # 100	Dallas, TX 75244-4638		4890 Alpha Rd Suite # 100	Dallas, TX 75244-4638	Jackson-Shaw Company		9726287400
		140	Canopy by Hilton	Hilton Worldwide	Canopy by Hilton Austin Downtown	Austin, TX	Austin CBD	Upper Upscale	Upper Upscale	Franchise	Existing	Open					604 W 6th St	Austin	TX	78701-2706	2020		07/01/2020	Monthly & Daily				Urban	Hotel	No	No	Interior	6			01/22/2020	48453C0465K	48453C	0465K	No	100-year and 500-year Floodplain	Scenic Capital	5124875433		502 W 15th St	Austin, TX 78701		502 W 15th St	Austin, TX 78701	Scenic Capital		5124875433
		195	DoubleTree by Hilton	Hilton Worldwide	DoubleTree Suites by Hilton Austin Downtown Capitol	Austin, TX	Austin CBD	Upscale	Upscale	Chain Management	Existing	Open					303 W 15th St	Austin	TX	78701	1987	2025	06/15/1987	Monthly & Daily	8	5,152	2,166	Urban	Hotel	No	Yes	Interior	15	18	0.092	01/22/2020	48453C0465K	48453C	0465K	No	100-year and 500-year Floodplain	RLJ Lodging Trust	3012807777	Tom Bardenett	7373 Wisconsin Ave	Bethesda, MD 20814-3279		7373 Wisconsin Ave	Bethesda, MD 20814-3279	RLJ Lodging Trust	Tom Bardenett	3012807777
		214	Hilton Garden Inn	Hilton Worldwide	Hilton Garden Inn Austin University Capitol District	Austin, TX	Austin CBD	Upscale	Upscale	Franchise	Existing	Open					301 W 17th St	Austin	TX	78701	2021		08/10/2021	Monthly	4	2,010	1,050	Urban	Hotel	No	No	Interior	17			01/22/2020	48453C0465K	48453C	0465K	No	100-year and 500-year Floodplain	BRE Hotels & Resorts LLC			530 Fifth Ave	New York, NY 10036-5101		530 Fifth Ave	New York, NY 10036-5101	BRE Hotels & Resorts LLC
		89	Home2 Suites by Hilton	Hilton Worldwide	Home2 Suites by Hilton Dallas I-30 Cockrell	Dallas, TX	Dallas South	Upper Midscale	Upper Midscale	Franchise	Existing	Open					2000 North Cockrell Hill	Dallas	TX	75212	2024		12/20/2024	Monthly & Daily				Urban	Hotel	No	Yes	Interior	4	96	1.079	08/23/2001	48113C0320J	48113C	0320J	No	100-year and 500-year Floodplain	Reunion Hospitality LLC	9728693929		1125 Executive Cir Suite # 220	Irving, TX 75038-2522
		98	Tru by Hilton	Hilton Worldwide	Tru by Hilton San Antonio North	San Antonio, TX	San Antonio Northeast	Midscale	Midscale	Franchise	Existing	Open					2214 TPC Pky	San Antonio	TX	78259-2489	2022		05/19/2022	Monthly & Daily				Suburban	Hotel	No	No	Interior	4	110	1.122	09/29/2010	48029C0140G	48029C	0140G	No	100-year and 500-year Floodplain	San Antonio Equities LLC			1200 W Walnut Hill Ln Suite # 2250	Irving, TX 75038-3029		1200 W Walnut Hill Ln Suite # 2250	Irving, TX 75038-3029	San Antonio Equities LLC
